tumor_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
AVL_B001,0.12614088,0.20483762,0.30280355,0.46810812,0.250417,0.5780892,0.32309368,0.78541815,0.3981262,0.18570538,0.3127485,0.3244087,0.35724744,0.42480624,0.35487804,0.79138035,0.33822444,0.27789536,0.29549646,0.41285327,0.4379841,0.57041365,0.5225088,0.18948947,0.2366888
AVL_B003,0.11965165,0.21425636,0.29161108,0.24078132,0.46686146,0.12987697,0.39301962,0.22107142,0.2092692,0.2596053,0.32165697,0.12809499,0.21442516,0.13253736,0.09610782,0.1114663,0.22249185,0.23871358,0.3057658,0.21940863,0.11287542,0.1986161,0.12573856,0.13103837,0.32103723
AVL_B006,0.09438371,0.24553117,0.30539107,0.40475306,0.47924957,0.3047824,0.38456172,0.08697823,0.4313097,0.26833457,0.26043972,0.27755272,0.43674153,0.10359005,0.12181655,0.29292032,0.31868944,0.26055682,0.3422647,0.2768908,0.1381354,0.06445509,0.14435402,0.11596394,0.3522411
AVL_B008,0.13486063,0.19232598,0.24412005,0.42106625,0.23218757,0.41990173,0.31267837,0.47078037,0.2949695,0.18474312,0.20808974,0.27597505,0.16774884,0.43516192,0.33953464,0.46612045,0.2477237,0.28531834,0.2773488,0.26877066,0.39591366,0.5086095,0.39421257,0.1528147,0.2605375
AVL_B009,0.08054341,0.3127039,0.24965705,0.31807888,0.44434747,0.29677328,0.31268862,0.30823547,0.21262987,0.24938957,0.25932068,0.2008757,0.1897486,0.5940966,0.6810474,0.5802733,0.2347314,0.3202666,0.2975051,0.3790933,0.38514552,0.50388104,0.25875294,0.24196665,0.39859998
AVL_B010_L,0.16031064,0.17564707,0.22936508,0.28363362,0.21834125,0.24397077,0.28087524,0.29022226,0.28143194,0.19426776,0.24505642,0.23845646,0.14542556,0.4685568,0.18944266,0.4370508,0.26868004,0.24886301,0.2702608,0.23168384,0.31363544,0.2759699,0.27611646,0.1690391,0.27813363
AVL_B010_R,0.07612869,0.32828343,0.35604084,0.48093534,0.476825,0.41030672,0.34475496,0.26410183,0.35606822,0.24463433,0.34465513,0.28739557,0.48210922,0.5099653,0.7627599,0.35391688,0.32574633,0.34413698,0.30672577,0.47720867,0.41811332,0.70866674,0.33499378,0.32603645,0.47881287
AVL_M020_R,0.080153935,0.31680626,0.31251726,0.48611623,0.45322877,0.5476369,0.33043715,0.6038688,0.4529118,0.2714699,0.5393605,0.5003759,0.28431237,0.7066451,0.724616,0.6096497,0.28301618,0.3293078,0.32436925,0.38325748,0.42139786,0.78407735,0.47040096,0.31281328,0.42628518
AVL_B012,0.079242766,0.24569055,0.33288792,0.41562402,0.4636637,0.2080772,0.38245466,0.23655726,0.3462023,0.37348357,0.42374173,0.13334855,0.33282334,0.2380375,0.32217273,0.14967947,0.2954245,0.31344157,0.36909434,0.34672317,0.37937438,0.20578502,0.35521936,0.222444,0.4796095
AVL_B013,0.17303623,0.14615816,0.12222319,0.1147081,0.18238272,0.08901301,0.2215323,0.11255394,0.11848084,0.2117681,0.12883615,0.08871777,0.09451423,0.08876108,0.13254924,0.08997935,0.15400578,0.15501916,0.17661655,0.11792476,0.08169355,0.0687344,0.12317116,0.09361964,0.1996633
AVL_M001,0.15237539,0.16433217,0.21593219,0.263834,0.2100242,0.21604627,0.26765662,0.31214213,0.26065126,0.19897027,0.21748088,0.22788753,0.17057525,0.34631595,0.22393104,0.3000793,0.25549513,0.24472848,0.26509356,0.28798735,0.32557148,0.22162306,0.24159873,0.16259165,0.27576748
AVL_M003,0.13273773,0.17159595,0.20233811,0.3042608,0.226759,0.26796043,0.24341843,0.19293927,0.14871135,0.17387517,0.13086092,0.11057874,0.117352046,0.16820823,0.12485508,0.13690229,0.28213066,0.24630597,0.25696298,0.2636868,0.1620132,0.18414578,0.15843357,0.12909256,0.29257694
AVL_M004,0.084565625,0.2507347,0.35873953,0.44136775,0.47190887,0.5675698,0.41092792,0.5500838,0.41619048,0.32564807,0.32811862,0.36259568,0.4536167,0.5217267,0.67331356,0.67220706,0.30993763,0.32283145,0.38953775,0.37344813,0.49472585,0.21361744,0.4488796,0.24682915,0.5057978
AVL_M005,0.12782443,0.19775939,0.23276766,0.42145813,0.23935299,0.4249037,0.28620318,0.6435634,0.32572535,0.17392986,0.22848117,0.15014501,0.16909057,0.18987799,0.27175084,0.6469368,0.32027477,0.26448557,0.27594224,0.30771294,0.29216406,0.3832362,0.44740888,0.14475916,0.26056784
AVL_M006,0.15028183,0.16669035,0.23904678,0.27105013,0.21616173,0.3293235,0.26715165,0.24791452,0.20879324,0.18524244,0.21435483,0.2451789,0.1609296,0.33942324,0.23808654,0.29020244,0.25240222,0.23799151,0.2650133,0.32529002,0.3060248,0.30464467,0.26171586,0.17997095,0.27844223
AVL_M009_L,0.14813077,0.15791802,0.21480797,0.27178466,0.21350737,0.16291413,0.25174168,0.33648536,0.14892896,0.18818507,0.17339034,0.23130834,0.11450829,0.20901544,0.18501048,0.3568035,0.18677467,0.23961751,0.25127923,0.27946582,0.12216019,0.20624356,0.24180852,0.14058489,0.28806058
AVL_M011,0.07695342,0.34049776,0.33003345,0.56101054,0.4647208,0.53985786,0.33171877,0.65660244,0.4467871,0.2697514,0.537611,0.55181134,0.5368488,0.68293554,0.8019965,0.7225771,0.395967,0.3429632,0.32901913,0.46205366,0.7238483,0.76951325,0.60398567,0.29328528,0.44182703
