tumor_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
LIDC-IDRI-0698_1,0.9995092,0.9886234,0.99841356,0.9993228,0.9982004,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0013_1,0.92032564,0.93548125,0.93838227,0.91028136,0.97289747,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0645_0,0.97066206,0.936405,0.9608858,0.9458153,0.9841008,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0810_2,0.8960448,0.8904747,0.92203337,0.84667593,0.92707086,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0951_0,0.20121306,0.24133073,0.002080219,0.10288393,0.8404064,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0565_1,0.5985742,0.5219074,0.57906854,0.6648078,0.6912211,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0777_1,0.041289955,0.065197736,0.021792855,0.022555126,0.060669284,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0463_1,0.0014751273,0.0151341045,0.000971359,0.008334505,0.003496402,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0788_0,0.06468898,0.08538771,0.04051935,0.047918506,0.15067214,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0476_1,0.8729325,0.9136953,0.9419741,0.92158586,0.9634445,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0309_1,0.6769938,0.8223577,0.77873707,0.46834558,0.829221,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0359_1,0.006000023,0.065559685,0.004523742,0.055944756,0.024432272,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0216_1,0.015972733,0.047403507,0.010393507,0.016744805,0.036868595,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0470_1,0.9999765,0.99792516,0.9988181,0.9999318,0.9976562,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0078_3,0.99999,0.9979043,0.9996216,0.9997962,0.9984908,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0090_0,0.11949383,0.08585744,0.041663427,0.09184571,0.07826098,,,,,,,,,,,,,,,,,,,,
