,Feature name,Optimal AUC @ 50%,Above threshold
0,original_shape_MeshVolume,0.9091335627150454,0
1,original_shape_VoxelVolume,0.9091335627150454,0
2,wavelet-LLH_firstorder_Energy,0.9091335627150454,0
3,wavelet-LLH_firstorder_TotalEnergy,0.9091335627150454,0
4,wavelet-LHL_firstorder_Energy,0.9091335627150454,0
5,wavelet-LHL_firstorder_TotalEnergy,0.9091335627150454,0
6,wavelet-LHH_firstorder_Energy,0.9091335627150454,0
7,wavelet-LHH_firstorder_TotalEnergy,0.9091335627150454,0
8,wavelet-LHH_gldm_GrayLevelNonUniformity,0.9091335627150454,0
9,wavelet-LHH_glrlm_GrayLevelNonUniformity,0.9091335627150454,0
10,wavelet-LHH_ngtdm_Coarseness,0.9091335627150454,1
11,wavelet-HLL_firstorder_Energy,0.9091335627150454,0
12,wavelet-HLL_firstorder_TotalEnergy,0.9091335627150454,0
13,wavelet-HLH_firstorder_Energy,0.9091335627150454,0
14,wavelet-HLH_firstorder_TotalEnergy,0.9091335627150454,0
15,wavelet-HLH_gldm_GrayLevelNonUniformity,0.9091335627150454,0
16,wavelet-HLH_glrlm_GrayLevelNonUniformity,0.9091335627150454,0
17,wavelet-HLH_glrlm_RunLengthNonUniformity,0.9091335627150454,0
18,wavelet-HLH_ngtdm_Coarseness,0.9091335627150454,1
19,wavelet-HHL_firstorder_Energy,0.9091335627150454,0
20,wavelet-HHL_firstorder_TotalEnergy,0.9091335627150454,0
21,wavelet-HHH_firstorder_Energy,0.9091335627150454,0
22,wavelet-HHH_firstorder_TotalEnergy,0.9091335627150454,0
23,wavelet-HHH_gldm_GrayLevelNonUniformity,0.9091335627150454,0
24,wavelet-HHH_glrlm_GrayLevelNonUniformity,0.9091335627150454,0
25,wavelet-HHH_glrlm_RunLengthNonUniformity,0.9091335627150454,0
26,wavelet-HHH_ngtdm_Coarseness,0.9091335627150454,1
27,log-sigma-1-0-mm-3D_firstorder_Energy,0.9091335627150454,0
28,log-sigma-1-0-mm-3D_firstorder_TotalEnergy,0.9091335627150454,0
29,log-sigma-2-0-mm-3D_firstorder_Energy,0.9091335627150454,0
30,log-sigma-2-0-mm-3D_firstorder_TotalEnergy,0.9091335627150454,0
31,log-sigma-3-0-mm-3D_firstorder_Energy,0.9091335627150454,0
32,log-sigma-3-0-mm-3D_firstorder_TotalEnergy,0.9091335627150454,0
33,log-sigma-4-0-mm-3D_firstorder_Energy,0.9091335627150454,0
34,log-sigma-4-0-mm-3D_firstorder_TotalEnergy,0.9091335627150454,0
35,log-sigma-5-0-mm-3D_firstorder_Energy,0.9091335627150454,0
36,log-sigma-5-0-mm-3D_firstorder_TotalEnergy,0.9091335627150454,0
37,wavelet-LHH_glrlm_RunLengthNonUniformity,0.9077777777777778,0
38,log-sigma-4-0-mm-3D_gldm_DependenceNonUniformity,0.9077259931185486,0
39,wavelet-LLH_gldm_GrayLevelNonUniformity,0.9075695964967158,0
40,wavelet-HHH_gldm_DependenceNonUniformity,0.9074131998748827,0
41,wavelet-LLH_glrlm_RunLengthNonUniformity,0.906413814369411,0
42,original_firstorder_Energy,0.9063492063492065,0
43,original_firstorder_TotalEnergy,0.9063492063492065,0
44,original_glrlm_GrayLevelNonUniformity,0.9063260340632603,0
45,original_ngtdm_Coarseness,0.9061739659367396,1
46,log-sigma-1-0-mm-3D_gldm_DependenceNonUniformity,0.906031746031746,0
47,log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformity,0.906031746031746,0
48,log-sigma-1-0-mm-3D_ngtdm_Coarseness,0.906031746031746,1
49,log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformity,0.906031746031746,0
50,log-sigma-2-0-mm-3D_ngtdm_Coarseness,0.9057971014492754,1
51,log-sigma-3-0-mm-3D_ngtdm_Coarseness,0.9057971014492754,1
52,log-sigma-4-0-mm-3D_ngtdm_Coarseness,0.9057971014492754,1
53,log-sigma-4-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.9057777777777778,0
54,wavelet-LLL_firstorder_Energy,0.9056665574844416,0
55,wavelet-LLL_firstorder_TotalEnergy,0.9056665574844416,0
56,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,0.9054887449892075,0
57,wavelet-LHL_gldm_DependenceNonUniformity,0.9052380952380952,0
58,log-sigma-1-0-mm-3D_gldm_GrayLevelNonUniformity,0.9049108539255553,0
59,wavelet-LHH_gldm_DependenceNonUniformity,0.9047544573037223,0
60,wavelet-HLH_gldm_DependenceNonUniformity,0.9047544573037223,0
61,wavelet-LLH_gldm_DependenceNonUniformity,0.9045980606818893,0
62,wavelet-LLH_glrlm_GrayLevelNonUniformity,0.9045980606818893,0
63,wavelet-LLH_ngtdm_Coarseness,0.9045980606818893,1
64,log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformity,0.9045980606818893,0
65,log-sigma-5-0-mm-3D_gldm_DependenceNonUniformity,0.9045980606818893,0
66,original_shape_SurfaceArea,0.9042857142857144,0
67,wavelet-HLL_gldm_DependenceNonUniformity,0.9033333333333333,0
68,wavelet-HLL_glrlm_GrayLevelNonUniformity,0.9033333333333333,0
69,wavelet-HLL_ngtdm_Coarseness,0.9033333333333333,1
70,original_shape_MinorAxisLength,0.9031760715386987,0
71,wavelet-HHH_ngtdm_Strength,0.9031326034063261,1
72,log-sigma-3-0-mm-3D_gldm_DependenceNonUniformity,0.9028571428571429,0
73,log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,0.902074074074074,0
74,log-sigma-1-0-mm-3D_glszm_ZoneVariance,0.902074074074074,0
75,wavelet-HHL_gldm_DependenceNonUniformity,0.9020681265206812,0
76,log-sigma-3-0-mm-3D_gldm_GrayLevelNonUniformity,0.9017460317460317,0
77,log-sigma-5-0-mm-3D_gldm_GrayLevelNonUniformity,0.9017460317460317,0
78,wavelet-HHL_glrlm_GrayLevelNonUniformity,0.9015873015873015,0
79,wavelet-HHL_ngtdm_Coarseness,0.9015873015873015,1
80,log-sigma-4-0-mm-3D_gldm_GrayLevelNonUniformity,0.9014285714285715,0
81,log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.9008888888888889,0
82,log-sigma-2-0-mm-3D_gldm_GrayLevelNonUniformity,0.9005317485142321,0
83,log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformity,0.9003953771289538,0
84,wavelet-HHL_gldm_GrayLevelNonUniformity,0.9000925069380205,0
85,log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.8997037037037037,0
86,original_shape_Maximum2DDiameterSlice,0.8996069439895185,0
87,wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.8995809155383624,0
88,log-sigma-3-0-mm-3D_glszm_LargeAreaEmphasis,0.8994829683698297,0
89,log-sigma-3-0-mm-3D_glszm_ZoneVariance,0.8994829683698297,0
90,log-sigma-2-0-mm-3D_glcm_Imc2,0.8993632336655593,1
91,original_gldm_GrayLevelNonUniformity,0.8990267639902676,0
92,log-sigma-2-0-mm-3D_gldm_DependenceNonUniformity,0.898936170212766,0
93,wavelet-LHL_ngtdm_Coarseness,0.8987301587301586,1
94,wavelet-HHH_glszm_ZoneVariance,0.8987301587301586,0
95,wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.8985705596107056,0
96,wavelet-LLL_gldm_GrayLevelNonUniformity,0.8985594237695078,0
97,log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,0.8985507246376812,0
98,log-sigma-2-0-mm-3D_glszm_ZoneVariance,0.8985507246376812,0
99,original_shape_LeastAxisLength,0.8981143552311435,0
100,wavelet-LLL_glszm_LargeAreaEmphasis,0.8980419580419581,0
101,wavelet-LLL_glszm_ZoneVariance,0.8980419580419581,0
102,log-sigma-5-0-mm-3D_glcm_Idmn,0.8979591836734694,0
103,log-sigma-4-0-mm-3D_glszm_GrayLevelNonUniformity,0.8978102189781022,0
104,log-sigma-5-0-mm-3D_glcm_Idn,0.8977777777777778,0
105,wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.8976256552574776,0
106,original_shape_Maximum2DDiameterColumn,0.8971631205673759,0
107,log-sigma-4-0-mm-3D_glcm_Idmn,0.8968393327480246,0
108,wavelet-HLL_glrlm_RunLengthNonUniformity,0.8967407407407407,0
109,original_glszm_LargeAreaEmphasis,0.8966930055604331,0
110,original_glszm_ZoneVariance,0.8966930055604331,0
111,log-sigma-4-0-mm-3D_glszm_LargeAreaEmphasis,0.8966086434573829,0
112,log-sigma-4-0-mm-3D_glszm_ZoneVariance,0.8966086434573829,0
113,wavelet-HLL_gldm_GrayLevelNonUniformity,0.8964654363465749,0
114,wavelet-HHH_glszm_LargeAreaEmphasis,0.8963922294172063,0
115,wavelet-HHL_glrlm_RunLengthNonUniformity,0.8956812652068127,0
116,log-sigma-4-0-mm-3D_glszm_SizeZoneNonUniformity,0.8956043956043955,0
117,wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.8950834064969272,0
118,wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.8943879124267654,0
119,log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity,0.8943126520681266,0
120,wavelet-HLH_gldm_SmallDependenceEmphasis,0.8942337341967314,1
121,wavelet-LLH_glszm_LargeAreaEmphasis,0.8941605839416058,0
122,wavelet-LLH_glszm_ZoneVariance,0.8941605839416058,0
123,wavelet-LHL_glszm_GrayLevelNonUniformity,0.8940795559666975,0
124,original_shape_Maximum3DDiameter,0.8939630903972474,0
125,wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.8935664335664335,0
126,wavelet-LHL_glrlm_GrayLevelNonUniformity,0.8934628430465618,0
127,wavelet-HHH_ngtdm_Busyness,0.8933375039099155,0
128,log-sigma-2-0-mm-3D_ngtdm_Contrast,0.8932867132867133,1
129,log-sigma-5-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.8931811530582382,0
130,wavelet-HHL_glszm_GrayLevelNonUniformity,0.8931746031746032,0
131,log-sigma-5-0-mm-3D_glrlm_GrayLevelNonUniformity,0.8924878345498783,0
132,log-sigma-5-0-mm-3D_glszm_LargeAreaEmphasis,0.8924069627851141,0
133,log-sigma-5-0-mm-3D_glszm_ZoneVariance,0.8924069627851141,0
134,log-sigma-5-0-mm-3D_ngtdm_Coarseness,0.8923835954363243,1
135,log-sigma-2-0-mm-3D_gldm_DependenceVariance,0.8922815945716709,1
136,wavelet-LHL_gldm_GrayLevelNonUniformity,0.8922569027611045,0
137,original_glrlm_RunLengthNonUniformity,0.8918795620437955,0
138,log-sigma-4-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.8918575063613231,1
139,log-sigma-5-0-mm-3D_glszm_ZonePercentage,0.8918518518518519,1
140,wavelet-HLL_glszm_LargeAreaEmphasis,0.8917214912280701,0
141,wavelet-HLL_glszm_ZoneVariance,0.8917214912280701,0
