tumor_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
AVL_B001,0.9439619,0.81944317,0.8436729,0.9233433,0.812807,0.6452595,0.7687203,0.7190809,0.7180128,0.8895248,0.8537383,0.50834596,0.81646454,0.6913125,0.8984133,0.79049194,0.87232405,0.86052096,0.87142736,0.81284654,0.92158383,0.86804634,0.9765156,0.8609833,0.9666117
AVL_B003,0.7976288,0.61396986,0.767628,0.7475571,0.7597322,0.54700977,0.5814166,0.76772904,0.8377108,0.59556484,0.7170908,0.8544426,0.97357893,0.8144714,0.72812015,0.8844541,0.6129903,0.8908004,0.7818669,0.5829338,0.58028454,0.5479923,0.79941416,0.6224498,0.8747314
AVL_B006,0.2081106,0.11977753,0.09130291,0.11336745,0.24697033,0.1422831,0.16089241,0.46396354,0.24205118,0.21640044,0.01140625,0.26211488,0.06776189,0.036953006,0.018173035,0.35420537,0.15800963,0.12391914,0.22947614,0.2340849,0.10057774,0.15710929,0.23746344,0.1262628,0.2332934
AVL_B008,0.90964955,0.7436593,0.8908647,0.8628746,0.85401756,0.52400506,0.6284862,0.8584573,0.8387253,0.6968887,0.8317927,0.8403667,0.9197532,0.80859137,0.9119305,0.83082545,0.8251182,0.8845945,0.89976805,0.45068341,0.8993738,0.80123985,0.9494589,0.8322104,0.9209351
AVL_B009,0.44276935,0.30600202,0.20900455,0.23985569,0.66985613,0.18930125,0.32976544,0.6639865,0.6629686,0.33100733,0.097069494,0.38479632,0.04039994,0.04328071,0.09921677,0.26304528,0.64984226,0.6043209,0.5885151,0.48342282,0.41719577,0.48576057,0.44808722,0.462385,0.58174545
AVL_B010_L,0.118699834,0.29113588,0.055438593,0.06975064,0.070758216,0.3850742,0.22873312,0.39271984,0.25633836,0.082700886,0.11416499,0.5266323,0.1686947,0.24014892,0.11206941,0.1694346,0.08463541,0.13774005,0.15964271,0.19983666,0.1231009,0.17307371,0.087632835,0.09604805,0.1547151
AVL_B010_R,0.7975996,0.4247293,0.6108002,0.5121858,0.5214628,0.3884029,0.4272093,0.6467606,0.6193153,0.46263057,0.4940382,0.69428796,0.7243541,0.6042747,0.56511503,0.7983382,0.40905705,0.74495894,0.5281741,0.49999434,0.3633822,0.41376674,0.70743704,0.44589913,0.7352786
AVL_M020_R,0.65489817,0.31129107,0.3718132,0.37042403,0.44176018,0.23557228,0.3289607,0.6383889,0.5128887,0.32527217,0.3887809,0.45820192,0.41606534,0.36160114,0.46713164,0.5797998,0.49308518,0.64698774,0.51154655,0.2520837,0.4533967,0.4683152,0.69652265,0.5641978,0.776443
AVL_B012,0.17301136,0.23014267,0.29941395,0.3394987,0.21229327,0.2111435,0.20669378,0.36035082,0.2848378,0.13621159,0.32400584,0.4536938,0.41637817,0.4510742,0.28389466,0.42922664,0.18510723,0.3331758,0.28011435,0.20482706,0.18996303,0.17583644,0.32549286,0.16370901,0.39505383
AVL_B013,0.074434794,0.37366396,0.3164285,0.02728523,0.17598225,0.5500446,0.35595414,0.07047053,0.29332566,0.019983916,0.10191128,0.4282047,0.17562537,0.21469669,0.40660027,0.067588635,0.16019066,0.12597534,0.048257668,0.19132273,0.18120769,0.14397421,0.123767264,0.34190038,0.34815305
AVL_M001,0.87220603,0.81824845,0.8397707,0.86919403,0.8517996,0.67457014,0.75389314,0.8860366,0.88340724,0.673939,0.799269,0.8191366,0.8379492,0.79937947,0.82431626,0.7605278,0.760794,0.6877893,0.8827066,0.5540441,0.783603,0.7708647,0.86327964,0.7659465,0.89602035
AVL_M003,0.92982644,0.50586593,0.674337,0.6171916,0.71014225,0.42674404,0.4678312,0.8304653,0.8824619,0.329964,0.58897793,0.91253674,0.82420415,0.702662,0.52515966,0.8403154,0.48676306,0.8071858,0.7052124,0.33838585,0.44622564,0.48886898,0.5838065,0.46484095,0.6410725
AVL_M004,0.9576648,0.6755346,0.8470223,0.78099614,0.7974958,0.51672846,0.61595416,0.8413287,0.8618578,0.6926283,0.7471379,0.90766007,0.94097906,0.7946581,0.85583997,0.87090576,0.7543724,0.92722577,0.8636653,0.496815,0.7770928,0.7566491,0.90249956,0.76791036,0.93418723
AVL_M005,0.9860633,0.80846554,0.87636155,0.89817405,0.89125115,0.65140384,0.7275182,0.9588561,0.95967287,0.69142747,0.7309354,0.9838663,0.9724096,0.8880897,0.8512474,0.9387754,0.7234184,0.95142514,0.93507016,0.5210337,0.789689,0.77413535,0.94858515,0.7164303,0.93819624
AVL_M006,0.85045815,0.7378745,0.73746663,0.780115,0.7437471,0.6190956,0.65534693,0.8804284,0.84731734,0.58281285,0.63172084,0.8777453,0.8412912,0.7843711,0.70864284,0.8118583,0.5138165,0.84243363,0.7523364,0.5587904,0.5217819,0.60077447,0.7820095,0.5500479,0.850498
AVL_M009_L,0.87807006,0.6308167,0.74089646,0.8234699,0.7032676,0.4711938,0.591815,0.67810076,0.6648339,0.56910187,0.7547094,0.727683,0.6361083,0.6891323,0.8183206,0.7312206,0.6721612,0.77439135,0.7308614,0.40440953,0.71499044,0.6749685,0.88107085,0.67046463,0.8278342
AVL_M011,0.63669825,0.4012918,0.4586043,0.5681984,0.43124723,0.37769505,0.4700752,0.46738932,0.43112886,0.36585468,0.5920938,0.34443754,0.48588097,0.41258255,0.6273729,0.47776818,0.5640034,0.3466642,0.4656577,0.33029822,0.54276323,0.540334,0.77728695,0.6078,0.615888
AVL_M013_L,0.61991453,0.6911631,0.6971455,0.5866879,0.689494,0.49454066,0.6223242,0.67646545,0.539931,0.64698863,0.59220654,0.6045222,0.57210124,0.6128357,0.82454157,0.56497467,0.670934,0.7318415,0.55658203,0.6957881,0.7658482,0.650578,0.76679146,0.60313624,0.80280614
AVL_M013_R,0.4386196,0.68414676,0.59188825,0.51160514,0.7008415,0.5581077,0.64604723,0.7928918,0.6232732,0.67794436,0.6380311,0.7648496,0.5785062,0.6784221,0.7874266,0.53027695,0.613334,0.8014813,0.6629969,0.5350749,0.7054215,0.62440085,0.5787336,0.6091667,0.79987323
AVL_M014,0.8206007,0.6886664,0.8550126,0.7452925,0.8624542,0.38902125,0.5642173,0.9439334,0.9128907,0.8505564,0.27961242,0.8162071,0.28274545,0.16465962,0.25169796,0.9138394,0.9149388,0.93965507,0.92747694,0.8364617,0.77201754,0.7857304,0.8770152,0.6916427,0.91115564
AVL_M015,0.69844794,0.8789401,0.93707865,0.87041265,0.9292975,0.718014,0.828633,0.8165643,0.8952142,0.27099213,0.5353369,0.92477673,0.8304172,0.7523755,0.7757267,0.8802093,0.89850694,0.81795275,0.75096166,0.677731,0.9414926,0.9164356,0.93184906,0.8961009,0.9101564
AVL_M016,0.52144533,0.62676775,0.74735653,0.43943408,0.79229397,0.38632217,0.5279148,0.8724006,0.8229322,0.86108774,0.2802117,0.6987634,0.25994116,0.22588514,0.27277663,0.8464022,0.85247135,0.88234776,0.88669443,0.83369637,0.63189095,0.7351569,0.6362414,0.6062179,0.5385331
AVL_M017_L,0.62835777,0.18303171,0.12591103,0.049665194,0.24509442,0.13423581,0.18258373,0.3608041,0.28360593,0.15170553,0.19205385,0.4150502,0.41419837,0.33980587,0.25931334,0.3623363,0.17193079,0.25122917,0.2896145,0.16642064,0.15980382,0.17234801,0.18662174,0.22293563,0.17202154
AVL_M017_R,0.47785413,0.5913531,0.39086276,0.4316416,0.72063285,0.4122491,0.5225239,0.77641034,0.80050623,0.40115368,0.67615736,0.8979124,0.5612097,0.6769656,0.78444684,0.59034723,0.62085605,0.79299927,0.77270603,0.39594266,0.6368422,0.63019127,0.17864048,0.67118907,0.5124553
AVL_M018,0.69096386,0.18106379,0.2823476,0.46622565,0.21309972,0.13591659,0.17586693,0.31142318,0.23478521,0.2344215,0.23375013,0.34442505,0.5775005,0.39991233,0.19610208,0.5658199,0.15582024,0.27138525,0.23905253,0.22003609,0.1513124,0.1684322,0.4933369,0.16080399,0.41222256
AVL_M019,0.66087055,0.59781516,0.5143234,0.4242871,0.4284172,0.68589807,0.5778564,0.78709656,0.66100657,0.45337445,0.46582422,0.71224004,0.51297176,0.57559264,0.56645083,0.38880366,0.2128749,0.65427357,0.3380766,0.3969425,0.25071418,0.37472183,0.67621535,0.4106527,0.70622027
AVL_M021,0.9195357,0.58295906,0.78463453,0.7265577,0.75105965,0.44108585,0.54458237,0.7983307,0.7798331,0.5696226,0.751561,0.82321763,0.8656799,0.7350686,0.8452323,0.77098906,0.70002514,0.8395365,0.79677206,0.35974008,0.72355497,0.66818404,0.88512105,0.7463102,0.8929436
AVL_M022_L,0.941875,0.7958701,0.9265777,0.88297635,0.89762336,0.6247856,0.7181628,0.9389334,0.9261325,0.8276315,0.80793554,0.9568874,0.95867735,0.8874266,0.87788785,0.9635694,0.76649034,0.97928923,0.9261655,0.78712755,0.84065443,0.7896443,0.9339358,0.7732489,0.964568
AVL_M022_R,0.9288607,0.7639326,0.91175586,0.8179901,0.8777967,0.5746154,0.6681801,0.9367895,0.930058,0.7454724,0.71367484,0.9534714,0.9513776,0.8625954,0.84123164,0.97566116,0.7233478,0.97444636,0.8510167,0.90137637,0.7920157,0.74888015,0.9187316,0.70324916,0.922949
AVL_M023,0.72595567,0.44216064,0.6598097,0.52989393,0.64025056,0.46129286,0.480583,0.696143,0.6315121,0.46108705,0.72518677,0.7135385,0.75205433,0.6673278,0.69549745,0.5387456,0.55721176,0.6662861,0.6685364,0.2421052,0.5244181,0.4150141,0.65304476,0.60833526,0.68426037
BRE_B002,0.63529557,0.39843532,0.40550736,0.34204,0.29493976,,,,,,,,,,,,,,,,,,,,
BRE_B004,0.018911807,0.20766798,0.08393069,0.072505735,0.21354643,,,,,,,,,,,,,,,,,,,,
BRE_B008,0.00010446466,0.0047361646,0.006018057,0.0024156831,0.003220509,,,,,,,,,,,,,,,,,,,,
BRE_B017,0.6008752,0.43304437,0.5741427,0.61937666,0.49672943,,,,,,,,,,,,,,,,,,,,
BRE_B022,0.83798844,0.31573886,0.48996025,0.71016824,0.49271145,,,,,,,,,,,,,,,,,,,,
BRE_B029,0.1685213,0.22867897,0.20011057,0.17297953,0.118204154,,,,,,,,,,,,,,,,,,,,
BRE_B042,0.15662456,0.242849,0.17403968,0.19667491,0.2637075,,,,,,,,,,,,,,,,,,,,
BRE_B048,0.0040849377,0.023948498,0.045160342,0.017463418,0.04118082,,,,,,,,,,,,,,,,,,,,
BRE_B056,0.21430025,0.33667246,0.26786152,0.19345412,0.43219236,,,,,,,,,,,,,,,,,,,,
BRE_B065_L,0.32554212,0.24084696,0.27973378,0.31126586,0.215236,,,,,,,,,,,,,,,,,,,,
BRE_B065_R,0.49724656,0.3344895,0.390973,0.58807945,0.32397577,,,,,,,,,,,,,,,,,,,,
BRE_B071,0.46014795,0.24019307,0.282042,0.39497876,0.25759673,,,,,,,,,,,,,,,,,,,,
BRE_B077,0.117960714,0.023803199,0.12322313,0.07905538,0.031672705,,,,,,,,,,,,,,,,,,,,
BRE_B084,7.5365426e-07,3.7465954e-05,9.962902e-06,0.00010927356,1.4285735e-05,,,,,,,,,,,,,,,,,,,,
BRE_B090,0.119356416,0.414646,0.34437585,0.23957771,0.35880446,,,,,,,,,,,,,,,,,,,,
BRE_B094,0.05764908,0.09392038,0.058968082,0.21700697,0.054266185,,,,,,,,,,,,,,,,,,,,
BRE_B097_R,0.025448987,0.07231085,0.026047776,0.045552302,0.01666858,,,,,,,,,,,,,,,,,,,,
BRE_B102_L,0.62788886,0.23706932,0.34384355,0.52949125,0.18157761,,,,,,,,,,,,,,,,,,,,
BRE_B102_R,0.009257213,0.19704936,0.06347386,0.088382356,0.13619019,,,,,,,,,,,,,,,,,,,,
BRE_B110,0.026862638,0.17270723,0.07788469,0.028046276,0.19499044,,,,,,,,,,,,,,,,,,,,
BRE_B115_L,0.3591923,0.3213169,0.37083974,0.19792259,0.36559448,,,,,,,,,,,,,,,,,,,,
BRE_B115_R,0.043239128,0.34259486,0.12676395,0.11153918,0.31194404,,,,,,,,,,,,,,,,,,,,
BRE_B122,0.23720174,0.27632013,0.3801598,0.25039664,0.26736143,,,,,,,,,,,,,,,,,,,,
BRE_B133,0.026013434,0.12811804,0.12159039,0.14441141,0.119491406,,,,,,,,,,,,,,,,,,,,
BRE_B139,0.0014733563,0.004177764,0.0059649437,0.008920401,0.0023501867,,,,,,,,,,,,,,,,,,,,
BRE_B148,0.121062234,0.17885478,0.17585103,0.2224882,0.12436115,,,,,,,,,,,,,,,,,,,,
BRE_B155,0.0859754,0.13735706,0.06845456,0.31328762,0.017957924,,,,,,,,,,,,,,,,,,,,
BRE_B162,0.043241993,0.46950734,0.23295356,0.19322827,0.085255526,,,,,,,,,,,,,,,,,,,,
BRE_B173,0.038279485,0.14792927,0.0393691,0.13443746,0.12955679,,,,,,,,,,,,,,,,,,,,
BRE_B177_L,0.0025917115,0.22443075,0.03461409,0.042435713,0.083339326,,,,,,,,,,,,,,,,,,,,
BRE_B177_R,0.026929574,0.23228723,0.03397542,0.1381146,0.12414484,,,,,,,,,,,,,,,,,,,,
BRE_B183,0.03678777,0.13087077,0.09918679,0.12398247,0.051919762,,,,,,,,,,,,,,,,,,,,
BRE_B192,0.5295116,0.61030173,0.5390985,0.7324508,0.65645343,,,,,,,,,,,,,,,,,,,,
BRE_B199,0.06771922,0.14966534,0.055939153,0.11616133,0.029894233,,,,,,,,,,,,,,,,,,,,
BRE_B207,0.1336437,0.14051376,0.27610856,0.09364034,0.19003195,,,,,,,,,,,,,,,,,,,,
BRE_B211,0.3978326,0.24012741,0.30123287,0.31082878,0.25650248,,,,,,,,,,,,,,,,,,,,
BRE_B216,0.34488246,0.17520452,0.24914044,0.24595289,0.094507895,,,,,,,,,,,,,,,,,,,,
BRE_B217,0.42089418,0.26828325,0.36344028,0.33663929,0.22184384,,,,,,,,,,,,,,,,,,,,
BRE_B220_L,0.007977218,0.09190024,0.027514445,0.031898443,0.0152376285,,,,,,,,,,,,,,,,,,,,
BRE_M001,0.6387847,0.5130813,0.4650186,0.6886064,0.47237504,,,,,,,,,,,,,,,,,,,,
BRE_M009,0.28393313,0.46804604,0.53267705,0.5475288,0.5599994,,,,,,,,,,,,,,,,,,,,
BRE_M019,0.21351482,0.16572317,0.22738986,0.18653078,0.12026162,,,,,,,,,,,,,,,,,,,,
BRE_M032,0.18348995,0.34824553,0.37485266,0.45626855,0.35294884,,,,,,,,,,,,,,,,,,,,
BRE_M048,0.4964587,0.33519253,0.461685,0.50170565,0.34922004,,,,,,,,,,,,,,,,,,,,
BRE_M071,0.8305203,0.6888762,0.7773652,0.67666084,0.6935007,,,,,,,,,,,,,,,,,,,,
BRE_M074,0.37226033,0.48329306,0.53066725,0.6927067,0.507856,,,,,,,,,,,,,,,,,,,,
BRE_M093_L,0.34258094,0.34546843,0.2967503,0.21923254,0.29946408,,,,,,,,,,,,,,,,,,,,
BRE_M093_R,0.0068423585,0.3097784,0.031382095,0.05371259,0.08992872,,,,,,,,,,,,,,,,,,,,
BRE_M106,0.4608211,0.3492203,0.37911728,0.39121482,0.3518449,,,,,,,,,,,,,,,,,,,,
BRE_M113,0.3748024,0.15709224,0.18142676,0.32619488,0.07690824,,,,,,,,,,,,,,,,,,,,
BRE_M129,0.5773605,0.39237744,0.6903688,0.7109653,0.69464284,,,,,,,,,,,,,,,,,,,,
CZE_B04,0.6139846,0.16454132,0.20264421,0.23972014,0.14238924,,,,,,,,,,,,,,,,,,,,
CZE_B11,0.66067016,0.22440003,0.6045068,0.20175523,0.47074452,,,,,,,,,,,,,,,,,,,,
CZE_B17,0.49927548,0.12107159,0.15076262,0.12445128,0.11531525,,,,,,,,,,,,,,,,,,,,
CZE_B27,0.736096,0.63541114,0.66041505,0.69449484,0.63785243,,,,,,,,,,,,,,,,,,,,
CZE_B33,0.16779083,0.14921874,0.43250364,0.051664904,0.26273447,,,,,,,,,,,,,,,,,,,,
CZE_B37,0.14969718,0.16705601,0.1737734,0.17016785,0.18138053,,,,,,,,,,,,,,,,,,,,
CZE_B41,0.44543472,0.19530669,0.2704188,0.24421759,0.1704669,,,,,,,,,,,,,,,,,,,,
CZE_B49,0.11380526,0.15927395,0.24246703,0.2606461,0.17253399,,,,,,,,,,,,,,,,,,,,
CZE_B54,1.0607891e-06,7.1926974e-05,2.3380035e-05,0.000187281,2.6302374e-05,,,,,,,,,,,,,,,,,,,,
CZE_B61,0.71081024,0.3625345,0.6540571,0.40229794,0.5719467,,,,,,,,,,,,,,,,,,,,
CZE_M04,0.5123653,0.59861374,0.64448965,0.40296352,0.65137565,,,,,,,,,,,,,,,,,,,,
CZE_M14,0.7087303,0.40565202,0.42571855,0.4777996,0.39809313,,,,,,,,,,,,,,,,,,,,
CZE_M21,0.5220543,0.4031489,0.41512272,0.39494464,0.35635903,,,,,,,,,,,,,,,,,,,,
CZE_M25,0.82755584,0.4247268,0.5517926,0.599303,0.50228333,,,,,,,,,,,,,,,,,,,,
CZE_M31_LM,0.5809042,0.48641896,0.62105995,0.48749787,0.5946984,,,,,,,,,,,,,,,,,,,,
CZE_M31_RM,0.6369317,0.7207324,0.59126043,0.73153025,0.67551315,,,,,,,,,,,,,,,,,,,,
CZE_M38_LM,0.23387782,0.32034618,0.09929301,0.19652,0.39199898,,,,,,,,,,,,,,,,,,,,
CZE_M38_RM,0.7101926,0.45268077,0.5422862,0.5056907,0.53353035,,,,,,,,,,,,,,,,,,,,
CZE_M48,0.86545527,0.88720775,0.94911546,0.88311034,0.9463134,,,,,,,,,,,,,,,,,,,,
CZE_M57,0.81160796,0.6471687,0.7478869,0.73987657,0.7217963,,,,,,,,,,,,,,,,,,,,
BRE_B005,,,,,,0.53008485,0.56688285,0.6900435,0.6268138,0.40987492,,,,,,,,,,,,,,,
BRE_B010,,,,,,0.22984456,0.3263383,0.47502187,0.31041673,0.118272744,,,,,,,,,,,,,,,
BRE_B018_L,,,,,,0.24165943,0.22171913,0.18326063,0.1316447,0.13062622,,,,,,,,,,,,,,,
BRE_B018_R,,,,,,0.11646433,0.16440332,0.116036355,0.10132861,0.17255424,,,,,,,,,,,,,,,
BRE_B023,,,,,,0.22323963,0.3027185,0.2540321,0.21614839,0.24666315,,,,,,,,,,,,,,,
BRE_B031,,,,,,0.30802655,0.36441538,0.27530032,0.29749832,0.31528044,,,,,,,,,,,,,,,
BRE_B033,,,,,,0.2119292,0.21109968,0.23392043,0.21256608,0.04433832,,,,,,,,,,,,,,,
BRE_B044,,,,,,0.6374233,0.55538934,0.68962944,0.6366183,0.50994664,,,,,,,,,,,,,,,
BRE_B050_L,,,,,,0.0035823395,0.009821678,0.009370614,0.0049792496,0.0014944174,,,,,,,,,,,,,,,
BRE_B050_R,,,,,,0.23078889,0.22652635,0.001645007,0.00071497075,0.15471031,,,,,,,,,,,,,,,
BRE_B057,,,,,,0.18117765,0.19633101,0.17912988,0.14703529,0.18716547,,,,,,,,,,,,,,,
BRE_B066,,,,,,0.25855532,0.16825159,0.17297727,0.14228976,0.2925686,,,,,,,,,,,,,,,
BRE_B075,,,,,,0.37590343,0.4628294,0.34850612,0.3483156,0.32038483,,,,,,,,,,,,,,,
BRE_B078-L,,,,,,0.15137042,0.19034833,0.19515578,0.17770344,0.20815514,,,,,,,,,,,,,,,
BRE_B078-R,,,,,,0.25396597,0.21137768,0.14994654,0.16999535,0.036614645,,,,,,,,,,,,,,,
BRE_B085,,,,,,0.127012,0.14756098,0.112963386,0.096321434,0.26103142,,,,,,,,,,,,,,,
BRE_B091,,,,,,0.45850998,0.30867305,0.3472604,0.34051722,0.30580932,,,,,,,,,,,,,,,
BRE_B098,,,,,,0.31084535,0.36246282,0.4691943,0.33409885,0.3682523,,,,,,,,,,,,,,,
BRE_B105,,,,,,0.09835375,0.049238272,0.07269904,0.05580835,0.09511115,,,,,,,,,,,,,,,
BRE_B111,,,,,,0.067506365,0.12036519,0.11757553,0.08357916,0.07256988,,,,,,,,,,,,,,,
BRE_B117,,,,,,0.4002257,0.43353245,0.43089777,0.3422808,0.3107207,,,,,,,,,,,,,,,
BRE_B121,,,,,,0.12606783,0.17951043,0.19887745,0.14117143,0.1336975,,,,,,,,,,,,,,,
BRE_B131,,,,,,0.63910884,0.5872032,0.4853516,0.61620665,0.3698961,,,,,,,,,,,,,,,
BRE_B134,,,,,,4.1255298e-05,0.00046405685,0.00041126471,5.7475663e-05,6.168776e-05,,,,,,,,,,,,,,,
BRE_B142,,,,,,0.22252233,0.2247707,0.19186935,0.15146422,0.13808094,,,,,,,,,,,,,,,
BRE_B145,,,,,,0.54985154,0.3733356,0.18671253,0.18453865,0.35597128,,,,,,,,,,,,,,,
BRE_B157,,,,,,0.2637556,0.3289957,0.16908847,0.19508132,0.2887815,,,,,,,,,,,,,,,
BRE_B164,,,,,,0.08641425,0.13785148,0.0977596,0.07277702,0.16488478,,,,,,,,,,,,,,,
BRE_B170,,,,,,0.18337584,0.11297334,0.102949835,0.08433767,0.1679124,,,,,,,,,,,,,,,
BRE_B178,,,,,,0.46471524,0.594862,0.6959768,0.673281,0.72869647,,,,,,,,,,,,,,,
BRE_B185,,,,,,0.49800095,0.24304971,0.31486693,0.17107719,0.04442045,,,,,,,,,,,,,,,
BRE_B193,,,,,,0.48266393,0.43627453,0.15581618,0.3079018,0.45048037,,,,,,,,,,,,,,,
BRE_B201,,,,,,0.21819173,0.23407623,0.1683467,0.14158131,0.30976543,,,,,,,,,,,,,,,
BRE_B208_L,,,,,,0.4038499,0.27020457,0.24419297,0.2554514,0.27340633,,,,,,,,,,,,,,,
BRE_B208_R,,,,,,0.1865723,0.27086407,0.23634909,0.14036612,0.060975425,,,,,,,,,,,,,,,
BRE_B214,,,,,,0.5588712,0.5551185,0.5649938,0.56280065,0.53964174,,,,,,,,,,,,,,,
BRE_B218,,,,,,0.19630414,0.18085302,0.23686604,0.2619093,0.060390007,,,,,,,,,,,,,,,
BRE_B222_L,,,,,,0.30410975,0.24397917,0.20126855,0.18750289,0.065171726,,,,,,,,,,,,,,,
BRE_M044_R,,,,,,0.38859507,0.47066963,0.38533399,0.36524257,0.42390117,,,,,,,,,,,,,,,
BRE_M002,,,,,,0.18572026,0.13220367,0.10972325,0.09529154,0.16803798,,,,,,,,,,,,,,,
BRE_M022,,,,,,0.095718205,0.18452038,0.117288865,0.08897376,0.2551523,,,,,,,,,,,,,,,
BRE_M036,,,,,,0.4629999,0.5441802,0.6108589,0.5640666,0.3822429,,,,,,,,,,,,,,,
BRE_M043_L,,,,,,0.75021,0.81989497,0.73640245,0.8221585,0.69743925,,,,,,,,,,,,,,,
BRE_M043_R,,,,,,0.6705492,0.81013966,0.89032876,0.888406,0.5538902,,,,,,,,,,,,,,,
BRE_M059,,,,,,0.52301466,0.61664283,0.679504,0.5352317,0.49257353,,,,,,,,,,,,,,,
BRE_M075,,,,,,0.5027216,0.5715605,0.5340621,0.5770885,0.61617893,,,,,,,,,,,,,,,
BRE_M099,,,,,,0.43365788,0.5664052,0.62858474,0.58899593,0.6793601,,,,,,,,,,,,,,,
BRE_M105,,,,,,0.4214231,0.24702117,0.34195444,0.2774418,0.32495403,,,,,,,,,,,,,,,
BRE_M115,,,,,,0.6143466,0.6267991,0.6146766,0.59588426,0.9419233,,,,,,,,,,,,,,,
BRE_M132,,,,,,0.18180646,0.22259407,0.10500769,0.13203034,0.053616963,,,,,,,,,,,,,,,
CZE_B08,,,,,,0.5110481,0.53629273,0.5767773,0.6274579,0.6530079,,,,,,,,,,,,,,,
CZE_B13,,,,,,0.057426598,0.0458912,0.025101934,0.026736354,0.023216434,,,,,,,,,,,,,,,
CZE_B19,,,,,,0.52770597,0.37534004,0.41537982,0.40130553,0.48359305,,,,,,,,,,,,,,,
CZE_B20,,,,,,0.3765771,0.32367975,0.41781914,0.31340966,0.59120077,,,,,,,,,,,,,,,
CZE_B28,,,,,,0.2524734,0.14616853,0.25133005,0.24174795,0.28975722,,,,,,,,,,,,,,,
CZE_B34,,,,,,0.33871475,0.3487744,0.30106997,0.31139767,0.42510283,,,,,,,,,,,,,,,
CZE_B38_L,,,,,,0.53145444,0.27884242,0.21815316,0.25397238,0.54900014,,,,,,,,,,,,,,,
CZE_B38_R,,,,,,0.21939701,0.1917497,0.10256728,0.061872747,0.0280808,,,,,,,,,,,,,,,
