tumor_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
AVL_B001,0.76,0.93,0.92,0.96,0.86,0.87,0.77,0.78,0.65,0.67,0.84,0.57,0.65,0.72,0.98,0.46,0.7,0.69,0.65,0.69,0.83,0.81,0.72,0.87,0.87
AVL_B003,0.68,0.86,0.83,0.73,0.82,0.82,0.9,0.88,0.78,0.62,0.76,0.82,0.87,0.89,0.46,0.76,0.75,0.86,0.82,0.79,0.57,0.67,0.64,0.71,0.72
AVL_B006,0.11,0.05,0.11,0.18,0.17,0.0,0.05,0.06,0.21,0.11,0.07,0.02,0.3,0.16,0.02,0.13,0.08,0.13,0.13,0.05,0.17,0.1,0.1,0.04,0.2
AVL_B008,0.87,0.7,0.93,0.94,0.94,0.53,0.93,0.93,0.88,0.78,0.84,0.91,0.84,0.82,0.85,0.77,0.91,0.9,0.89,0.65,0.9,0.87,0.85,0.86,0.84
AVL_B009,0.14,0.21,0.13,0.11,0.16,0.22,0.28,0.16,0.42,0.1,0.2,0.09,0.18,0.1,0.12,0.47,0.53,0.32,0.45,0.46,0.2,0.36,0.18,0.14,0.2
AVL_B010_L,0.43,0.5,0.43,0.22,0.37,0.68,0.42,0.59,0.53,0.36,0.25,0.36,0.23,0.26,0.46,0.42,0.22,0.49,0.28,0.29,0.32,0.34,0.51,0.36,0.5
AVL_B010_R,0.75,0.7,0.85,0.47,0.79,0.76,0.69,0.76,0.92,0.67,0.42,0.73,0.73,0.59,0.44,0.73,0.45,0.66,0.62,0.8,0.52,0.5,0.71,0.64,0.67
AVL_M020_R,0.27,0.17,0.13,0.13,0.19,0.2,0.2,0.33,0.35,0.11,0.24,0.2,0.26,0.18,0.11,0.48,0.21,0.4,0.5,0.33,0.18,0.42,0.33,0.13,0.21
AVL_B012,0.27,0.18,0.36,0.15,0.18,0.05,0.07,0.23,0.17,0.11,0.31,0.32,0.47,0.21,0.32,0.41,0.03,0.22,0.21,0.11,0.17,0.22,0.34,0.18,0.41
AVL_B013,0.39,0.13,0.49,0.17,0.14,0.57,0.6,0.43,0.64,0.58,0.53,0.17,0.4,0.31,0.51,0.17,0.09,0.27,0.16,0.12,0.15,0.52,0.52,0.28,0.46
AVL_M001,0.8,0.85,0.87,0.9,0.93,0.47,0.69,0.7,0.71,0.6,0.73,0.72,0.7,0.81,0.53,0.72,0.82,0.83,0.83,0.78,0.69,0.83,0.83,0.7,0.76
AVL_M003,0.81,0.83,0.89,0.78,0.75,0.78,0.86,0.92,0.9,0.47,0.47,0.89,0.58,0.69,0.56,0.89,0.78,0.85,0.77,0.74,0.71,0.75,0.75,0.71,0.71
